[NEMU] paddr read addr:0x00000000f0001146, data: 00000000000097ca, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001148, data: 000000000000d683, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000800014aa, data: 0000000000008f29, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114a, data: 0000000000000007, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000800014ac, data: 0000000000008b05, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0003bd0, data: 00000000000000e7, len:2, type:1, mode:3
[NEMU] paddr read addr:0x00000000800014ae, data: 0000000000008105, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114c, data: 0000000000002705, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114e, data: 0000000000009e85, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001150, data: 0000000000009023, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001152, data: 00000000000000d7, len:2, type:0, mode:3
[NEMU] paddr write addr:0x00000000f0003bd0, data:000000000000004e, len:2, mode:3
[NEMU] paddr read addr:0x00000000f0001154, data: 00000000000065e3, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001156, data: 000000000000ff37, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000113e, data: 00000000000007bb, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001140, data: 00000000000000c7, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001142, data: 0000000000001782, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000800014b0, data: 000000000000c711, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001144, data: 00000000000083fd, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001146, data: 00000000000097ca, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001148, data: 000000000000d683, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114a, data: 0000000000000007, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0003bd2, data: 00000000000000e9, len:2, type:1, mode:3
[NEMU] paddr read addr:0x00000000f000114c, data: 0000000000002705, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114e, data: 0000000000009e85, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001150, data: 0000000000009023, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001152, data: 00000000000000d7, len:2, type:0, mode:3
[NEMU] paddr write addr:0x00000000f0003bd2, data:0000000000000050, len:2, mode:3
[NEMU] paddr read addr:0x00000000f0001154, data: 00000000000065e3, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001156, data: 000000000000ff37, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000113e, data: 00000000000007bb, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001140, data: 00000000000000c7, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001142, data: 0000000000001782, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001144, data: 00000000000083fd, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001146, data: 00000000000097ca, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001148, data: 000000000000d683, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114a, data: 0000000000000007, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0003bd4, data: 00000000000000eb, len:2, type:1, mode:3
[NEMU] paddr read addr:0x00000000f000114c, data: 0000000000002705, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114e, data: 0000000000009e85, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000800014bc, data: 0000000000008082, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001cd2, data: 00000000000084aa, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001cd4, data: 00000000000014e3, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001cd6, data: 000000000000ff24, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001150, data: 0000000000009023, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001152, data: 00000000000000d7, len:2, type:0, mode:3
[NEMU] paddr write addr:0x00000000f0003bd4, data:0000000000000052, len:2, mode:3
[NEMU] paddr read addr:0x00000000f0001154, data: 00000000000065e3, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001156, data: 000000000000ff37, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000113e, data: 00000000000007bb, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001140, data: 00000000000000c7, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001142, data: 0000000000001782, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001144, data: 00000000000083fd, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001146, data: 00000000000097ca, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001cbc, data: 0000000000004008, len:2, type:0, mode:3
[NEMU] paddr read addr:0x000000008000cdb8, data: 0000000000000000, len:4, type:1, mode:3
[NEMU] paddr read addr:0x0000000080001cbe, data: 00000000000085a6, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001cc0, data: 0000000000000411, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001cc2, data: 000000000000f0ef, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001cc4, data: 000000000000d38f, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000800011fa, data: 0000000000004833, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000800011fc, data: 00000000000000b5, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000800011fe, data: 00000000000087aa, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001148, data: 000000000000d683, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114a, data: 0000000000000007, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0003bd6, data: 00000000000000ed, len:2, type:1, mode:3
[NEMU] paddr read addr:0x00000000f000114c, data: 0000000000002705, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f000114e, data: 0000000000009e85, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001200, data: 0000000000007713, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001202, data: 0000000000000ff5, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001204, data: 0000000000007813, len:2, type:0, mode:3
[NEMU] paddr read addr:0x0000000080001206, data: 0000000000000018, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001150, data: 0000000000009023, len:2, type:0, mode:3
[NEMU] paddr read addr:0x00000000f0001152, data: 00000000000000d7, len:2, type:0, mode:3
[NEMU] paddr write addr:0x00000000f0003bd6, data:0000000000000054, len:2, mode:3
