Time(1ps)  sqDeq     
========== ==========
0          X         
65300      0         
810300     1         
815300     0         
1245300    1         
1250300    0         
1870300    1         
1875300    0         
2230300    1         
2235300    0         
2335300    1         
2340300    0         
3160300    1         
3165300    0         
3400300    1         
3405300    0         
4990300    1         
4995300    0         
5555300    1         
5560300    0         
6025300    1         
6030300    0         
6460300    1         
6465300    0         
7280300    1         
7285300    0         
8350300    1         
8355300    0         
8865300    1         
8870300    0         
9330300    1         
9335300    0         
9720300    1         
9725300    0         
12030300   1         
12035300   0         
12505300   1         
12510300   0         
13520300   1         
13525300   0         
13755300   1         
13760300   0         
14305300   1         
14310300   0         
15490300   1         
15495300   0         
15605300   1         
15610300   0         
16140300   1         
16145300   0         
16250300   1         
16255300   0         
17650300   1         
17655300   0         
18850300   1         
18855300   0         
18960300   1         
18965300   0         
19540300   1         
19545300   0         
21160300   1         
21165300   0         
21285300   1         
21290300   0         
22485300   1         
22490300   0         
22695300   1         
22700300   0         
23740300   1         
23745300   0         
25020300   1         
25025300   0         
25505300   1         
25510300   0         
26495300   1         
26500300   0         
26890300   1         
26895300   0         
27580300   1         
27585300   0         
28055300   1         
28060300   0         
28250300   1         
28255300   0         
28580300   1         
28585300   0         
29325300   1         
29330300   0         
29550300   1         
29555300   0         
30195300   1         
30200300   0         
30390300   1         
30395300   0         
32180300   1         
32185300   0         
32285300   1         
32290300   0         
32545300   1         
32550300   0         
32900300   1         
32905300   0         
33125300   1         
33130300   0         
33680300   1         
33685300   0         
34385300   1         
34390300   0         
34600300   1         
34605300   0         
34710300   1         
34715300   0         
34990300   1         
34995300   0         
35275300   1         
35280300   0         
35375300   1         
35380300   0         
36355300   1         
36360300   0         
36600300   1         
36605300   0         
37615300   1         
37620300   0         
39195300   1         
39200300   0         
40665300   1         
40670300   0         
41020300   1         
41025300   0         
41490300   1         
41495300   0         
42005300   1         
42010300   0         
42475300   1         
42480300   0         
42985300   1         
42990300   0         
43785300   1         
43790300   0         
44570300   1         
44575300   0         
45190300   1         
45195300   0         
45420300   1         
45425300   0         
45685300   1         
45690300   0         
47295300   1         
47300300   0         
48180300   1         
48185300   0         
48285300   1         
48290300   0         
48805300   1         
48810300   0         
48910300   1         
48915300   0         
49210300   1         
49215300   0         
49735300   1         
49740300   0         
50265300   1         
50270300   0         
51180300   1         
51185300   0         
51700300   1         
51705300   0         
53185300   1         
53190300   0         
53895300   1         
53900300   0         
53995300   1         
54000300   0         
54950300   1         
54955300   0         
55115300   1         
55120300   0         
55660300   1         
55665300   0         
56800300   1         
56805300   0         
57290300   1         
57295300   0         
57415300   1         
57420300   0         
58405300   1         
58410300   0         
58515300   1         
58520300   0         
58615300   1         
58620300   0         
58715300   1         
58720300   0         
59275300   1         
59280300   0         
59430300   1         
59435300   0         
60355300   1         
60360300   0         
61105300   1         
61110300   0         
61270300   1         
61275300   0         
61800300   1         
61805300   0         
61960300   1         
61965300   0         
62290300   1         
62295300   0         
62485300   1         
62490300   0         
63005300   1         
63010300   0         
64975300   1         
64980300   0         
65105300   1         
65110300   0         
65545300   1         
65550300   0         
65645300   1         
65650300   0         
65925300   1         
65930300   0         
66025300   1         
66030300   0         
66520300   1         
66525300   0         
66620300   1         
66625300   0         
66890300   1         
66895300   0         
68890300   1         
68895300   0         
69465300   1         
69470300   0         
69580300   1         
69585300   0         
69870300   1         
69875300   0         
71475300   1         
71480300   0         
71580300   1         
71585300   0         
71765300   1         
71770300   0         
72865300   1         
72870300   0         
73175300   1         
73180300   0         
73625300   1         
73630300   0         
74560300   1         
74565300   0         
74720300   1         
74725300   0         
75000000   0         
